trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
nightbus-1,27:01:00,27:01:00,2,1,,,,
nightbus-1,27:01:00,27:01:00,3,1,,,,
nightbus-1,27:01:00,27:01:00,4,1,,,,
nightbus-1,27:01:00,27:01:00,5,1,,,,
nightbus-1,27:01:00,27:01:00,6,1,,,,
nightbus-1,27:01:00,27:01:00,7,1,,,,
nightbus-1,27:01:00,27:01:00,8,1,,,,
nightbus-1,27:01:00,27:01:00,9,1,,,,
nightbus-1,27:01:00,27:01:00,10,1,,,,
nightbus-1,27:01:00,27:01:00,11,1,,,,
nightbus-1,27:01:00,27:01:00,12,1,,,,
nightbus-1,27:01:00,27:01:00,13,1,,,,
nightbus-1,27:01:00,27:01:00,14,1,,,,
nightbus-1,27:01:00,27:01:00,15,1,,,,
nightbus-1,27:01:00,27:01:00,16,1,,,,
nightbus-1,27:01:00,27:01:00,17,1,,,,
nightbus-1,27:01:00,27:01:00,18,1,,,,
nightbus-1,27:01:00,27:01:00,19,1,,,,
nightbus-1,27:01:00,27:01:00,20,1,,,,
nightbus-1,27:01:00,27:01:00,21,1,,,,
nightbus-1,27:01:00,27:01:00,22,1,,,,
nightbus-1,27:01:00,27:01:00,23,1,,,,
nightbus-1,27:01:00,27:01:00,24,1,,,,
nightbus-1,27:01:00,27:01:00,25,1,,,,
nightbus-1,27:01:00,27:01:00,26,1,,,,
nightbus-1,27:01:00,27:01:00,27,1,,,,
nightbus-1,27:01:00,27:01:00,28,1,,,,
nightbus-1,27:01:00,27:01:00,29,1,,,,
nightbus-1,27:01:00,27:01:00,30,1,,,,
nightbus-1,27:01:00,27:01:00,31,1,,,,
nightbus-1,27:01:00,27:01:00,32,1,,,,
nightbus-1,27:01:00,27:01:00,33,1,,,,
nightbus-1,27:01:00,27:01:00,34,1,,,,
nightbus-1,27:01:00,27:01:00,35,1,,,,
nightbus-1,27:01:00,27:01:00,36,1,,,,
nightbus-1,27:01:00,27:01:00,37,1,,,,
nightbus-1,27:01:00,27:01:00,38,1,,,,
nightbus-1,27:01:00,27:01:00,39,1,,,,
nightbus-1,27:01:00,27:01:00,40,1,,,,
nightbus-1,27:01:00,27:01:00,41,1,,,,
nightbus-1,27:01:00,27:01:00,42,1,,,,
nightbus-1,27:01:00,27:01:00,43,1,,,,
nightbus-1,27:01:00,27:01:00,44,1,,,,
nightbus-1,27:01:00,27:01:00,45,1,,,,
nightbus-1,27:01:00,27:01:00,46,1,,,,
nightbus-1,27:01:00,27:01:00,47,1,,,,
nightbus-1,27:01:00,27:01:00,48,1,,,,
nightbus-1,27:01:00,27:01:00,49,1,,,,
nightbus-1,27:01:00,27:01:00,50,1,,,,
nightbus-1,27:01:00,27:01:00,51,1,,,,
nightbus-1,27:01:00,27:01:00,52,1,,,,
nightbus-1,27:01:00,27:01:00,53,1,,,,
nightbus-1,27:01:00,27:01:00,54,1,,,,
nightbus-1,27:01:00,27:01:00,55,1,,,,
nightbus-1,27:01:00,27:01:00,56,1,,,,
nightbus-1,27:01:00,27:01:00,57,1,,,,
nightbus-1,27:01:00,27:01:00,58,1,,,,
nightbus-1,27:01:00,27:01:00,59,1,,,,
nightbus-1,27:01:00,27:01:00,60,1,,,,
nightbus-1,27:01:00,27:01:00,61,1,,,,
nightbus-1,27:01:00,27:01:00,62,1,,,,
nightbus-1,27:01:00,27:01:00,63,1,,,,
nightbus-1,27:01:00,27:01:00,64,1,,,,
nightbus-1,27:01:00,27:01:00,65,1,,,,
nightbus-1,27:01:00,27:01:00,66,1,,,,
nightbus-1,27:01:00,27:01:00,67,1,,,,
nightbus-1,27:01:00,27:01:00,68,1,,,,
nightbus-1,27:01:00,27:01:00,69,1,,,,
nightbus-1,27:01:00,27:01:00,70,1,,,,
nightbus-1,27:01:00,27:01:00,71,1,,,,
nightbus-1,27:01:00,27:01:00,72,1,,,,
nightbus-1,27:01:00,27:01:00,73,1,,,,
nightbus-1,27:01:00,27:01:00,74,1,,,,
nightbus-1,27:01:00,27:01:00,75,1,,,,
nightbus-1,27:01:00,27:01:00,76,1,,,,
nightbus-1,27:01:00,27:01:00,152,1,,,,
nightbus-1,27:01:00,27:01:00,77,1,,,,
nightbus-1,27:01:00,27:01:00,78,1,,,,
nightbus-1,27:01:00,27:01:00,79,1,,,,
nightbus-1,27:01:00,27:01:00,80,1,,,,
nightbus-1,27:01:00,27:01:00,81,1,,,,
nightbus-1,27:01:00,27:01:00,82,1,,,,
nightbus-1,27:01:00,27:01:00,83,1,,,,
nightbus-1,27:01:00,27:01:00,84,1,,,,
nightbus-1,27:01:00,27:01:00,85,1,,,,
nightbus-1,27:01:00,27:01:00,86,1,,,,
nightbus-1,27:01:00,27:01:00,87,1,,,,
nightbus-1,27:01:00,27:01:00,88,1,,,,
nightbus-1,27:01:00,27:01:00,89,1,,,,
nightbus-1,27:01:00,27:01:00,90,1,,,,
nightbus-1,27:01:00,27:01:00,91,1,,,,
nightbus-1,27:01:00,27:01:00,92,1,,,,
nightbus-1,27:01:00,27:01:00,93,1,,,,
nightbus-1,27:01:00,27:01:00,94,1,,,,
nightbus-1,27:01:00,27:01:00,95,1,,,,
nightbus-1,27:01:00,27:01:00,96,1,,,,
nightbus-1,27:01:00,27:01:00,97,1,,,,
nightbus-1,27:01:00,27:01:00,98,1,,,,
nightbus-1,27:01:00,27:01:00,99,1,,,,
nightbus-1,27:01:00,27:01:00,100,1,,,,
nightbus-1,27:01:00,27:01:00,101,1,,,,
