stop_id,stop_code,stop_name,stop_lon,stop_lat
21,"","Eifelplatz","6.9434608","50.9232266"
4,"","Mauritiuskirche","6.9451112","50.9339125"
1,"","Heumarkt","6.960323","50.9357398"
39,"","Deutzer Freiheit","6.9714055","50.9380881"
539,"","Kalk Friedhof","7.0424136","50.942619"
540,"","Merheim","7.0486882","50.9442332"
633,"","Mülheim - Berliner Straße","7.0147516","50.9750425"
677,"","Walberberg","6.9209363","50.7942174"
737,"","Badorf","6.9003559","50.8131125"
730,"","Efferen","6.9036188","50.8941086"
167,"","Klettenbergpark","6.9192931","50.9080131"
151,"","Arnulfstraße","6.9301528","50.9182254"
28,"","Moltkestraße","6.9323001","50.9355637"
143,"","Universitätsstraße","6.9254902","50.9366588"
671,"","Frankenforst","7.136843","50.9608536"
670,"","Kippekausen","7.1300081","50.9568241"
27,"","Rudolfplatz","6.93975","50.9361981"
17,"","Ubierring","6.9656608","50.922458"
160,"","Sülzgürtel","6.923224","50.9117164"
152,"","Sülzburgstraße","6.9270383","50.9153799"
150,"","Weißhausstraße","6.9334577","50.9214148"
26,"","Eifelwall","6.9368942","50.9246171"
153,"","Universität","6.9308577","50.9258137"
24,"","Zülpicher Platz","6.9401662","50.9307962"
246,"","Nußbaumerstraße","6.9236508","50.957074"
245,"","Subbelrather Straße / Gürtel","6.9215922","50.954966"
238,"","Gutenbergstraße","6.9281587","50.9504286"
182,"","Oskar-Jäger-Straße / Gürtel","6.9108201","50.9396469"
144,"","Melaten","6.9165894","50.9367511"
30,"","Friesenplatz","6.9400113","50.9405843"
9,"","Breslauer Platz / Hbf","6.9586475","50.9443565"
35,"","Ebertplatz","6.9590839","50.9507856"
34,"","Reichenspergerplatz","6.9644348","50.9541325"
314,"","Boltensternstraße","6.9809837","50.9624144"
315,"","Slabystraße","6.9877723","50.9660237"
313,"","Zoo/Flora","6.9745125","50.9579926"
666,"","Kölner Straße","7.1493854","50.9626206"
291,"","Bocklemünd","6.8728372","50.9693753"
242,"","Schaffrathsgasse","6.8702057","50.9716538"
31,"","Hans-Böckler-Platz / Bahnhof West","6.9332108","50.9435048"
40,"","Suevenstraße","6.9763699","50.9327911"
41,"","Bahnhof Deutz / Köln Arena","6.9784049","50.9391525"
631,"","Keupstraße","7.0067891","50.9662686"
632,"","Von-Sparr-Straße","7.0113124","50.9703603"
606,"","Im Weidenbruch","7.0226678","50.980661"
607,"","Am Emberg","7.0302445","50.9893534"
608,"","Leuchterstraße","7.0374221","50.9961996"
663,"","Schlebusch","7.0444791","51.0188107"
317,"","Amsterdamer Straße / Gürtel","6.9690527","50.9708333"
303,"","Neusser Straße/Gürtel","6.9514272","50.972334"
237,"","Körnerstraße","6.92029","50.948321"
236,"","Piusstraße","6.9259056","50.9460194"
47,"","Poller Kirchweg","6.9798663","50.9238227"
46,"","Drehbrücke","6.9744825","50.9287869"
255,"","Leyendeckerstraße","6.9101215","50.9543778"
467,"","Porz Markt","7.0591587","50.8848648"
179,"","Maarweg","6.8999317","50.9372081"
181,"","Eupener Straße","6.8895754","50.9374557"
180,"","Clarenbachstift","6.8944537","50.9373098"
282,"","Wolffsohnstraße","6.8849729","50.965024"
254,"","Weinsbergstraße / Gürtel","6.9127151","50.9447574"
298,"","Ollenhauerring","6.8711877","50.9758798"
44,"","Deutz Fachhochschule","6.9856224","50.9366277"
369,"","Fordwerke Mitte","6.9553571","51.0118627"
368,"","Fordwerke Süd","6.9553434","51.0059474"
370,"","Fordwerke Nord","6.9553507","51.0172334"
451,"","Gilgaustraße","7.031778","50.8995732"
449,"",""Westhoven, Kölner Straße"","7.0147553","50.906748"
450,"","Westhoven Berliner Straße","7.0253223","50.9014346"
23,"","Barbarossaplatz","6.9421476","50.928975"
22,"","Eifelstraße","6.945806","50.9266343"
19,"","Ulrepforte","6.9517926","50.9241245"
830,"","Bahnstraße","6.8446444","50.9381553"
178,"","Aachener Straße/Gürtel","6.9094181","50.9369728"
170,"","Dürener Straße/Gürtel","6.9086947","50.9281722"
554,"","Porzer Straße","7.0753787","50.9215749"
304,"","Florastraße","6.9537868","50.9642618"
466,"","Steinstraße","7.0559921","50.89194"
578,"","Buchheim Herler Straße","7.0250953","50.957931"
166,"","Sülz Hermeskeiler Platz","6.9071464","50.9171353"
572,"","Bahnhof Mülheim","7.0123265","50.9569237"
384,"","Heimersdorf","6.9071309","51.0116361"
355,"","Meerfeldstraße","6.9203062","50.9951874"
363,"","Altonaer Platz","6.9328185","50.9939839"
362,"","Wilhelm-Sollmann-Straße","6.9411294","50.9919891"
342,"","Niehl","6.9555085","50.9955187"
367,"","Geestemünder Straße","6.9552444","51.0022082"
239,"","Liebigstraße","6.9248695","50.951928"
52,"","Pohligstraße","6.9413927","50.9165317"
579,"","Wichheimer Straße","7.0309015","50.9612014"
583,"","Vischeringstraße","7.0389788","50.9668489"
584,"","Maria-Himmelfahrt-Straße","7.0447228","50.9678755"
187,"","Rhein Energie Stadion","6.8777541","50.9369649"
316,"","Kinderkrankenhaus","6.9685034","50.9636132"
343,"","Niehl Sebastianstraße","6.9614051","50.9851972"
452,"","Ensen Kloster","7.0473877","50.8970602"
818,"","Nesselrodestraße","6.9688305","50.9773958"
417,"","Merkenich","6.9479872","51.0281255"
234,"","Stüttgenhof","6.877153","50.9200651"
172,"","Brahmsstraße","6.8990621","50.9261092"
585,"","Neufelder Straße/Krankenhaus Holweide","7.0552686","50.9694914"
594,"","Dellbrück Mauspfad","7.0644068","50.9717675"
45,"","Severinsbrücke","6.9721569","50.9308435"
667,"","Neuenweg","7.1424387","50.9632496"
655,"","Im Hoppenkamp","7.1562891","50.9629684"
665,"","Bensberg U","7.1613772","50.963807"
36,"","Hansaring","6.9516121","50.948751"
283,"","Westfriedhof","6.8785059","50.9674606"
56,"","Zollstockgürtel","6.9420714","50.9053534"
54,"","Gottesweg","6.9413365","50.9098278"
3,"","Poststraße","6.9499566","50.9317732"
702,"","Weiden West","6.8160574","50.9404526"
806,"","Thermalbad","6.9807599","50.9506732"
512,"","Kalk Post","6.9986343","50.9375349"
517,"","Fuldaer Straße","7.0222891","50.9416014"
513,"","Kalk Kapelle","7.0087446","50.9389426"
518,"","Höhenberg Frankfurter Straße","7.0301368","50.9417401"
521,"","Vingst","7.0213434","50.9327817"
337,"","Scheibenstraße","6.9463636","50.9856627"
439,"","Baumschulenweg","7.0002802","50.9147331"
25,"","Dasselstraße/Bf Süd","6.935896","50.9283145"
162,"","Berrenrather Straße","6.9204188","50.9145173"
163,"","Euskirchener Straße","6.9178329","50.9163726"
165,"","Mommsenstraße","6.9102546","50.9191306"
164,"","Zülpicher Straße / Gürtel","6.914924","50.9207998"
169,"","Wüllnerstraße","6.9078157","50.9317283"
2,"","Neumarkt","6.9477566","50.9357815"
173,"","Gleueler Straße / Gürtel","6.91204","50.9240244"
357,"","Longerich Friedhof","6.9113259","50.9955892"
356,"","Longericher Straße","6.9141538","50.9961827"
228,"","Rosenhügel","7.0600914","50.8743166"
32,"","Christophstraße / Mediapark","6.9422527","50.9445512"
326,"","Escher Straße","6.9337865","50.9645781"
42,"","Koelnmesse","6.9819912","50.94349"
305,"","Lohsestraße","6.9546952","50.9592982"
336,"","Mollwitzstraße","6.948726","50.9784395"
18,"","Chlodwigplatz","6.9604343","50.9212571"
364,"","Herforder Straße","6.9255022","50.9946677"
609,"","Odenthaler Straße","7.0421957","51.0011229"
709,"","Frechen Mühlengasse","6.8020743","50.9082693"
710,"","Frechen Rathaus","6.8061437","50.9094324"
711,"","Frechen Kirche","6.8157791","50.9100638"
712,"","Frechen Bahnhof","6.823058","50.9115001"
57,"",""Zollstock, Südfriedhof"","6.9444663","50.9009219"
791,"","Weiden Zentrum","6.8352454","50.9383279"
241,"","Weiden Schulstraße","6.828639","50.9384025"
142,"","Mohnweg","6.8554744","50.9379756"
200,"","Junkersdorf","6.8687053","50.9376586"
186,"","Alter Militärring","6.8815122","50.9377132"
274,"","Alter Flughafen Butzweilerhof","6.8981472","50.9775119"
6,"","Rathaus","6.9595736","50.937966"
7,"","Appellhofplatz","6.9507033","50.9412253"
657,"","Köln Frankfurter Straße","7.0518546","50.9154072"
264,"","Akazienweg","6.8935071","50.9608565"
53,"","Herthastraße","6.9408341","50.9129423"
444,"","Raiffeisenstraße","6.9860916","50.9199536"
154,"","Weyertal","6.9273152","50.9241202"
155,"","Lindenburg","6.9215216","50.9221657"
976,"","IKEA Am Butzweilerhof","6.8939813","50.9821678"
595,"","Dellbrück Hauptstraße","7.0745142","50.9745917"
11,"","Severinstraße","6.9577079","50.9293001"
385,"","Chorweiler","6.8980399","51.0210596"
596,"","Thielenbruch","7.0855175","50.9780381"
570,"","Wiener Platz","7.0041676","50.9617267"
8,"","Dom/Hbf","6.9572211","50.9417279"
261,"","Weiden Zentrum","6.8352382","50.9381669"
534,"","Autobahn (Stadtbahn)","7.053817","50.9271186"
556,"","Rath-Heumar","7.0821613","50.9204739"
538,"","Autobahn","7.0533194","50.9272609"
533,"","Ostheim","7.0417481","50.9292179"
438,"","Poll Salmstraße","6.9928365","50.9160131"
577,"","Frankfurter Straße","7.0141092","50.9532224"
325,"",""Gelderstraße/Parkgürtel, Köln"","6.9415576","50.9685002"
546,"","Flehbachstraße","7.0731805","50.9477431"
547,"","Brück Mauspfad","7.0782896","50.9488157"
553,"","Steinweg","7.0667895","50.9236538"
107,"","Siegstraße","6.9946164","50.8833032"
262,"","Äußere Kanalstraße","6.9027007","50.9568275"
247,"","Lenauplatz","6.9182798","50.9587151"
249,"","Iltisstraße","6.9124455","50.9649319"
273,"","Margaretastraße","6.9054629","50.9685303"
272,"","Rektor-Klein-Straße","6.9047039","50.9739804"
235,"","Marsdorf","6.8583092","50.9174906"
1811,"","Siegburg Bahnhof","7.2029922","50.793213"
76,"","Bayenthalgürtel","6.9775706","50.9071328"
897,"","Heinrich-Lübke-Ufer","6.9848776","50.8997852"
65,"","Schönhauser Straße","6.9718957","50.9143478"
251,"","Venloer Straße / Gürtel","6.9164635","50.9499404"
108,"","Michaelshoven","6.9990644","50.8759675"
743,"","Urfeld","7.0106282","50.8036648"
742,"","Wesseling Nord","6.9709365","50.8314607"
486,"","Zündorf","7.0490025","50.8660735"
